FECHA HECHO,CANTIDAD,GENERO,Weapon Used,Total domestic violence
2017-08-26,2,F,No Weapon or Substance Used,5.0
2017-09-03,3,F,No Weapon or Substance Used,2.0
2017-09-17,1,F,Using weapons and substances with a certain degree of harm,52.0
2017-10-02,3,M,No Weapon or Substance Used,1.0
2017-10-21,1,M,No Weapon or Substance Used,10.0
2017-10-23,7,F,Using weapons and substances with a certain degree of harm,1.0
2017-11-02,1,M,Unknown,7.0
2017-11-04,3,M,Using weapons and substances with a certain degree of harm,1.0
2017-11-17,1,M,No Weapon or Substance Used,6.0
2017-11-21,2,M,Using weapons and substances with a certain degree of harm,1.0
2017-12-11,3,F,No Weapon or Substance Used,1.0
2017-12-25,2,F,Using weapons and substances with a certain degree of harm,10.0
2018-01-14,2,M,Using weapons and substances with a certain degree of harm,5.0
2018-01-21,2,M,Using weapons and substances with a certain degree of harm,4.0
2018-01-25,1,F,Unknown,10.0
2018-02-01,5,M,Unknown,1.0
2018-02-09,1,F,Unknown,12.0
2018-02-11,18,F,Using weapons and substances with a certain degree of harm,1.0
2018-03-05,8,M,Unknown,1.0
2018-03-17,10,F,Using weapons and substances with a certain degree of harm,1.0
2018-04-01,15,M,Unknown,1.0
2018-04-03,9,F,Using weapons and substances with a certain degree of harm,1.0
2018-04-04,6,F,Unknown,1.0
2018-04-05,15,F,Using weapons and substances with a certain degree of harm,1.0
2018-04-11,4,F,No Weapon or Substance Used,1.0
2018-04-24,15,F,Using weapons and substances with a certain degree of harm,1.0
2018-04-24,3,F,Using weapons and substances with a certain degree of harm,4.0
2018-05-14,3,F,Unknown,2.0
2018-05-26,5,F,Using weapons and substances with a certain degree of harm,2.0
2018-05-28,4,M,Using weapons and substances with a certain degree of harm,2.0
2018-06-02,6,F,Unknown,1.0
2018-06-20,4,F,Using weapons and substances with a certain degree of harm,2.0
2018-06-21,1,F,Using weapons and substances with a certain degree of harm,47.0
2018-06-26,1,F,Using weapons and substances with a certain degree of harm,43.0
2018-07-09,9,F,Using weapons and substances with a certain degree of harm,1.0
2018-07-31,1,M,Unknown,8.0
2018-08-09,3,F,Using weapons and substances with a certain degree of harm,3.0
2018-08-10,8,M,Unknown,1.0
2018-08-18,3,M,Using weapons and substances with a certain degree of harm,1.0
2018-09-02,5,F,Using weapons and substances with a certain degree of harm,1.0
2018-09-14,2,F,Unknown,12.0
2018-09-14,11,M,Unknown,1.0
2018-09-18,1,F,Using weapons and substances with a certain degree of harm,28.0
2018-10-02,3,F,Using weapons and substances with a certain degree of harm,1.0
2018-11-14,3,F,Using weapons and substances with a certain degree of harm,3.0
2018-12-12,1,F,Using weapons and substances with a certain degree of harm,36.0
2018-12-23,2,F,Using weapons and substances with a certain degree of harm,5.0
2019-01-20,3,M,Using weapons and substances with a certain degree of harm,1.0
2019-01-21,1,M,No Weapon or Substance Used,2.0
2019-01-25,4,F,Using weapons and substances with a certain degree of harm,2.0
2019-01-28,3,F,Unknown,3.0
2019-02-01,7,F,Unknown,1.0
2019-02-07,9,F,Using weapons and substances with a certain degree of harm,1.0
2019-02-11,10,F,Unknown,1.0
2019-02-20,7,F,Using weapons and substances with a certain degree of harm,1.0
2019-02-25,3,F,Unknown,1.0
2019-03-01,9,F,Using weapons and substances with a certain degree of harm,1.0
2019-03-07,1,F,Using weapons and substances with a certain degree of harm,43.0
2019-03-11,1,F,No Weapon or Substance Used,15.0
2019-03-21,11,M,Unknown,2.0
2019-03-24,10,F,Using weapons and substances with a certain degree of harm,1.0
2019-04-01,2,F,Unknown,5.0
2019-04-02,2,F,Unknown,2.0
2019-04-04,2,F,Unknown,3.0
2019-04-10,2,M,Using weapons and substances with a certain degree of harm,2.0
2019-04-11,4,M,Unknown,1.0
2019-04-25,8,F,Using weapons and substances with a certain degree of harm,1.0
2019-05-05,3,F,No Weapon or Substance Used,1.0
2019-05-05,2,F,No Weapon or Substance Used,8.0
2019-05-07,15,M,Unknown,1.0
2019-05-18,1,F,Using weapons and substances with a certain degree of harm,37.0
2019-05-29,2,F,Unknown,7.0
2019-06-20,12,M,Unknown,1.0
2019-06-30,4,F,Using weapons and substances with a certain degree of harm,3.0
2019-07-14,2,F,No Weapon or Substance Used,3.0
2019-08-04,9,F,Using weapons and substances with a certain degree of harm,1.0
2019-08-14,5,F,Unknown,1.0
2019-08-14,8,F,Unknown,1.0
2019-08-23,8,M,Unknown,1.0
2019-08-31,3,M,No Weapon or Substance Used,1.0
2019-09-03,4,F,Unknown,2.0
2019-09-04,1,M,Using weapons and substances with a certain degree of harm,17.0
2019-09-09,3,F,Using weapons and substances with a certain degree of harm,2.0
2019-09-10,1,F,Using weapons and substances with a certain degree of harm,41.0
2019-09-12,2,F,No Weapon or Substance Used,3.0
2019-09-14,5,F,Unknown,1.0
2019-09-25,4,M,Using weapons and substances with a certain degree of harm,1.0
2019-10-08,4,M,Using weapons and substances with a certain degree of harm,2.0
2019-10-15,6,M,Unknown,2.0
2019-10-20,1,M,No Weapon or Substance Used,10.0
2019-10-23,2,F,Unknown,11.0
2019-10-27,2,F,Unknown,16.0
2019-11-05,1,F,Unknown,34.0
2019-11-14,2,F,No Weapon or Substance Used,4.0
2019-11-22,4,F,Unknown,3.0
2019-11-29,1,M,Using weapons and substances with a certain degree of harm,10.0
2019-12-03,3,F,No Weapon or Substance Used,2.0
2019-12-05,1,M,Unknown,7.0
2019-12-10,1,F,Using weapons and substances with a certain degree of harm,32.0
2019-12-10,5,F,Unknown,2.0
2019-12-11,3,F,Unknown,3.0
2019-12-25,3,M,Using weapons and substances with a certain degree of harm,1.0
2019-12-27,2,F,Unknown,3.0
2019-12-28,3,F,Unknown,3.0
2020-01-19,1,M,Using weapons and substances with a certain degree of harm,51.0
2020-02-19,1,F,Using weapons and substances with a certain degree of harm,153.0
2020-03-12,1,M,No Weapon or Substance Used,15.0
2020-03-29,1,M,Unknown,15.0
2020-04-11,3,F,Unknown,1.0
2020-04-15,2,M,Unknown,2.0
2020-04-20,4,F,Unknown,1.0
2020-05-21,3,M,Unknown,1.0
2020-07-02,15,M,Unknown,1.0
2020-07-14,1,M,No Weapon or Substance Used,8.0
2020-08-09,1,M,No Weapon or Substance Used,5.0
2020-08-20,18,M,Unknown,1.0
2020-08-26,6,M,Unknown,1.0
2020-09-08,1,F,Unknown,76.0
2020-10-01,1,M,Using weapons and substances with a certain degree of harm,43.0
2020-10-03,2,F,Unknown,1.0
2020-10-03,1,F,No Weapon or Substance Used,21.0
2020-10-22,2,M,Using weapons and substances with a certain degree of harm,1.0
2020-10-29,13,F,Unknown,1.0
2020-11-20,2,M,Unknown,3.0
2021-01-15,1,M,No Weapon or Substance Used,9.0
2021-01-19,2,M,No Weapon or Substance Used,4.0
2021-02-16,5,M,No Weapon or Substance Used,1.0
2021-02-17,3,F,No Weapon or Substance Used,4.0
2021-02-22,4,F,Using weapons and substances with a certain degree of harm,3.0
2021-03-01,9,F,No Weapon or Substance Used,1.0
2021-03-12,3,F,No Weapon or Substance Used,4.0
2021-03-27,1,M,No Weapon or Substance Used,19.0
2021-04-01,5,F,Using weapons and substances with a certain degree of harm,1.0
2021-04-22,4,F,No Weapon or Substance Used,3.0
2021-05-11,1,M,Using weapons and substances with a certain degree of harm,15.0
2021-05-13,6,F,Using weapons and substances with a certain degree of harm,1.0
2021-05-24,5,F,No Weapon or Substance Used,1.0
2021-06-17,5,F,Using weapons and substances with a certain degree of harm,2.0
2021-06-24,2,M,Using weapons and substances with a certain degree of harm,4.0
2021-07-04,3,F,Using weapons and substances with a certain degree of harm,4.0
2021-07-16,2,M,Using weapons and substances with a certain degree of harm,1.0
2021-07-19,3,F,No Weapon or Substance Used,2.0
2021-07-20,5,F,No Weapon or Substance Used,1.0
2021-07-23,3,F,Using weapons and substances with a certain degree of harm,1.0
2021-07-24,1,F,Using weapons and substances with a certain degree of harm,41.0
2021-08-06,3,F,No Weapon or Substance Used,2.0
2021-08-10,3,M,No Weapon or Substance Used,2.0
2021-08-12,1,F,Using weapons and substances with a certain degree of harm,26.0
2021-08-19,2,M,No Weapon or Substance Used,3.0
2021-09-21,5,F,Using weapons and substances with a certain degree of harm,2.0
2021-09-28,1,F,Using weapons and substances with a certain degree of harm,31.0
2021-10-01,3,M,No Weapon or Substance Used,1.0
2021-10-09,4,F,No Weapon or Substance Used,1.0
2021-10-27,5,F,Using weapons and substances with a certain degree of harm,1.0
2021-11-06,2,M,No Weapon or Substance Used,4.0
2021-11-07,2,M,Using weapons and substances with a certain degree of harm,2.0
2021-11-22,4,M,No Weapon or Substance Used,2.0
2021-12-04,7,M,No Weapon or Substance Used,1.0
2022-01-09,5,F,Using weapons and substances with a certain degree of harm,2.0
2022-02-02,1,M,Using weapons and substances with a certain degree of harm,22.0
2022-02-14,1,M,No Weapon or Substance Used,21.0
2022-03-03,7,F,Using weapons and substances with a certain degree of harm,1.0
2022-03-22,4,F,No Weapon or Substance Used,1.0
2022-03-22,5,M,No Weapon or Substance Used,1.0
2022-04-03,9,M,No Weapon or Substance Used,1.0
2022-04-06,1,M,Using weapons and substances with a certain degree of harm,16.0
2022-04-09,2,M,Using weapons and substances with a certain degree of harm,2.0
2022-04-12,2,F,No Weapon or Substance Used,3.0
2022-05-08,3,M,No Weapon or Substance Used,1.0
2022-05-13,4,F,No Weapon or Substance Used,6.0
2022-05-17,16,F,No Weapon or Substance Used,1.0
2022-05-25,3,F,Using weapons and substances with a certain degree of harm,3.0
2022-06-10,6,F,No Weapon or Substance Used,2.0
2022-06-20,1,F,Using weapons and substances with a certain degree of harm,49.0
2022-06-24,4,M,No Weapon or Substance Used,1.0
2022-06-28,2,M,Using weapons and substances with a certain degree of harm,1.0
2022-08-25,7,F,No Weapon or Substance Used,1.0
2022-09-17,1,M,No Weapon or Substance Used,19.0
2022-09-26,7,F,No Weapon or Substance Used,1.0
2022-10-03,14,F,No Weapon or Substance Used,1.0
2022-10-10,3,F,No Weapon or Substance Used,5.0
2022-10-20,8,F,No Weapon or Substance Used,1.0
2022-11-26,2,F,No Weapon or Substance Used,6.0
2022-12-17,4,F,Using weapons and substances with a certain degree of harm,1.0
2022-12-23,3,F,No Weapon or Substance Used,3.0
2023-01-11,4,M,No Weapon or Substance Used,3.0
2023-01-22,2,F,Using weapons and substances with a certain degree of harm,10.0
2023-02-02,1,M,Using weapons and substances with a certain degree of harm,14.0
2023-02-02,5,F,No Weapon or Substance Used,2.0
2023-02-03,1,F,Using weapons and substances with a certain degree of harm,18.0
2023-02-17,4,M,No Weapon or Substance Used,1.0
2023-02-25,3,M,No Weapon or Substance Used,2.0
2016-02-07,4,F,Using weapons and substances with a certain degree of harm,5.0
2016-08-06,2,F,Using weapons and substances with a certain degree of harm,6.0
2017-05-14,2,F,No Weapon or Substance Used,10.0
2018-07-25,1,M,Using weapons and substances with a certain degree of harm,11.0
2018-08-19,8,F,Unknown,1.0
2018-08-28,13,F,Using weapons and substances with a certain degree of harm,1.0
2018-09-18,7,F,Unknown,1.0
2019-07-08,2,M,Using weapons and substances with a certain degree of harm,3.0
2019-08-27,4,M,Unknown,2.0
2019-10-19,1,F,Using weapons and substances with a certain degree of harm,38.0
2019-11-04,1,M,Unknown,14.0
2019-11-30,2,M,Using weapons and substances with a certain degree of harm,3.0
2020-08-01,1,F,No Weapon or Substance Used,24.0
2020-11-13,5,F,Unknown,1.0
2021-01-05,5,M,Using weapons and substances with a certain degree of harm,1.0
2021-05-29,1,M,Using weapons and substances with a certain degree of harm,7.0
2021-11-07,3,M,Using weapons and substances with a certain degree of harm,3.0
2022-03-15,2,F,No Weapon or Substance Used,12.0
2022-04-02,2,M,Using weapons and substances with a certain degree of harm,1.0
2022-05-21,8,M,No Weapon or Substance Used,1.0
2022-09-27,2,F,Using weapons and substances with a certain degree of harm,3.0
2023-01-01,3,M,Using weapons and substances with a certain degree of harm,2.0
2023-02-23,2,F,Using weapons and substances with a certain degree of harm,1.0
2015-01-28,2,M,Using weapons and substances with a certain degree of harm,1.0
2015-02-01,1,M,Using weapons and substances with a certain degree of harm,23.0
2015-02-11,3,M,Using weapons and substances with a certain degree of harm,1.0
2015-03-03,4,M,No Weapon or Substance Used,2.0
2015-03-10,14,F,No Weapon or Substance Used,1.0
2015-03-26,4,F,Using weapons and substances with a certain degree of harm,2.0
2015-04-14,1,M,Using weapons and substances with a certain degree of harm,12.0
2015-04-19,1,M,No Weapon or Substance Used,7.0
2015-05-01,3,F,Using weapons and substances with a certain degree of harm,3.0
2015-05-10,2,F,No Weapon or Substance Used,6.0
2015-05-24,6,F,Using weapons and substances with a certain degree of harm,1.0
2015-06-23,2,M,Using weapons and substances with a certain degree of harm,1.0
2015-07-26,7,F,Using weapons and substances with a certain degree of harm,1.0
2015-07-28,1,F,Using weapons and substances with a certain degree of harm,44.0
2015-07-29,2,F,Using weapons and substances with a certain degree of harm,5.0
2015-08-07,1,F,Unknown,1.0
2015-08-09,2,F,No Weapon or Substance Used,8.0
2015-08-23,5,F,No Weapon or Substance Used,1.0
2015-08-30,2,F,No Weapon or Substance Used,9.0
2015-09-07,2,F,Using weapons and substances with a certain degree of harm,8.0
2015-09-10,2,F,Using weapons and substances with a certain degree of harm,3.0
2015-09-13,1,M,Unknown,2.0
2015-09-26,2,F,No Weapon or Substance Used,5.0
2015-11-09,7,F,Using weapons and substances with a certain degree of harm,1.0
2015-11-16,1,M,Using weapons and substances with a certain degree of harm,8.0
2015-11-23,4,M,No Weapon or Substance Used,1.0
2015-11-27,3,F,No Weapon or Substance Used,1.0
2015-12-06,1,M,Using weapons and substances with a certain degree of harm,16.0
2015-12-08,1,F,Using weapons and substances with a certain degree of harm,57.0
2016-01-10,1,F,Using weapons and substances with a certain degree of harm,64.0
2016-01-17,9,F,No Weapon or Substance Used,1.0
2016-01-30,1,M,Using weapons and substances with a certain degree of harm,22.0
2016-02-08,4,F,Using weapons and substances with a certain degree of harm,3.0
2016-02-15,4,F,Using weapons and substances with a certain degree of harm,2.0
2016-02-20,3,M,No Weapon or Substance Used,1.0
2016-02-21,1,M,Unknown,1.0
2016-02-27,2,F,Using weapons and substances with a certain degree of harm,10.0
2016-03-05,11,M,No Weapon or Substance Used,1.0
2016-03-11,4,F,No Weapon or Substance Used,1.0
2016-03-29,4,F,No Weapon or Substance Used,2.0
2016-04-15,3,M,No Weapon or Substance Used,2.0
2016-05-02,2,F,Using weapons and substances with a certain degree of harm,15.0
2016-05-25,3,F,Using weapons and substances with a certain degree of harm,5.0
2016-06-05,2,F,No Weapon or Substance Used,9.0
2016-06-15,14,F,No Weapon or Substance Used,1.0
2016-06-18,5,M,Using weapons and substances with a certain degree of harm,1.0
2016-06-21,2,F,No Weapon or Substance Used,4.0
2016-07-17,3,M,Using weapons and substances with a certain degree of harm,2.0
2016-07-20,2,M,Using weapons and substances with a certain degree of harm,1.0
2016-07-30,3,F,Using weapons and substances with a certain degree of harm,4.0
2016-07-31,13,F,No Weapon or Substance Used,1.0
2016-08-03,3,M,Using weapons and substances with a certain degree of harm,1.0
2016-08-11,2,M,No Weapon or Substance Used,2.0
2016-08-12,1,F,No Weapon or Substance Used,28.0
2016-08-20,4,F,Using weapons and substances with a certain degree of harm,1.0
2016-08-27,1,M,No Weapon or Substance Used,6.0
2016-10-06,4,F,Using weapons and substances with a certain degree of harm,1.0
2016-10-11,5,F,No Weapon or Substance Used,1.0
2016-10-22,4,F,No Weapon or Substance Used,1.0
2016-10-26,1,M,Using weapons and substances with a certain degree of harm,16.0
2016-10-26,5,F,Using weapons and substances with a certain degree of harm,1.0
2016-10-30,5,F,No Weapon or Substance Used,1.0
2016-11-07,13,F,No Weapon or Substance Used,1.0
2016-11-10,2,F,No Weapon or Substance Used,7.0
2016-11-21,3,M,No Weapon or Substance Used,1.0
2016-11-23,4,F,No Weapon or Substance Used,3.0
2016-11-24,6,F,Using weapons and substances with a certain degree of harm,1.0
2016-12-08,4,F,Using weapons and substances with a certain degree of harm,3.0
2016-12-12,2,M,No Weapon or Substance Used,2.0
2016-12-14,3,F,Using weapons and substances with a certain degree of harm,4.0
2016-12-25,1,F,Unknown,3.0
2017-01-01,6,F,Using weapons and substances with a certain degree of harm,2.0
2017-01-02,4,F,No Weapon or Substance Used,1.0
2017-01-07,3,F,Using weapons and substances with a certain degree of harm,4.0
2017-02-04,6,F,No Weapon or Substance Used,1.0
2017-02-04,3,F,Using weapons and substances with a certain degree of harm,2.0
2017-02-04,3,F,No Weapon or Substance Used,5.0
2017-02-16,1,M,Using weapons and substances with a certain degree of harm,17.0
2017-02-18,5,F,Using weapons and substances with a certain degree of harm,2.0
2017-03-13,6,F,Using weapons and substances with a certain degree of harm,2.0
2017-03-14,2,M,No Weapon or Substance Used,3.0
2017-05-06,4,F,Using weapons and substances with a certain degree of harm,4.0
2017-05-12,3,M,Using weapons and substances with a certain degree of harm,1.0
2017-05-19,1,M,No Weapon or Substance Used,7.0
2017-05-19,8,F,No Weapon or Substance Used,1.0
2017-06-16,1,M,Using weapons and substances with a certain degree of harm,14.0
2017-06-16,1,M,No Weapon or Substance Used,7.0
2017-06-23,1,F,Using weapons and substances with a certain degree of harm,38.0
2017-07-06,2,F,No Weapon or Substance Used,4.0
2017-07-09,6,F,Using weapons and substances with a certain degree of harm,1.0
2017-07-16,1,F,Using weapons and substances with a certain degree of harm,58.0
2017-08-01,1,F,No Weapon or Substance Used,34.0
2017-08-03,1,M,Using weapons and substances with a certain degree of harm,10.0
2017-08-27,18,F,No Weapon or Substance Used,1.0
2017-09-03,1,M,No Weapon or Substance Used,10.0
2017-09-12,4,M,No Weapon or Substance Used,2.0
2017-09-18,1,F,Unknown,3.0
2017-09-26,7,F,No Weapon or Substance Used,1.0
2017-09-27,9,F,Using weapons and substances with a certain degree of harm,1.0
2017-10-01,1,M,Unknown,2.0
2017-10-13,3,F,Using weapons and substances with a certain degree of harm,3.0
2017-11-09,1,F,Using weapons and substances with a certain degree of harm,25.0
2017-11-15,4,F,Using weapons and substances with a certain degree of harm,1.0
2017-11-18,1,F,No Weapon or Substance Used,37.0
2017-12-15,2,F,No Weapon or Substance Used,5.0
2017-12-17,1,F,Using weapons and substances with a certain degree of harm,52.0
2018-01-02,3,F,Using weapons and substances with a certain degree of harm,1.0
2018-01-22,6,F,Using weapons and substances with a certain degree of harm,1.0
2018-01-24,8,F,Unknown,1.0
2018-01-28,2,F,Unknown,1.0
2018-01-31,4,F,Unknown,1.0
2018-02-04,3,M,Using weapons and substances with a certain degree of harm,1.0
2018-02-04,7,F,Unknown,1.0
2018-02-07,1,M,No Weapon or Substance Used,6.0
2018-02-08,16,F,Using weapons and substances with a certain degree of harm,1.0
2018-02-13,1,F,Unknown,15.0
2018-02-16,1,M,No Weapon or Substance Used,7.0
2018-02-16,3,F,No Weapon or Substance Used,1.0
2018-02-21,1,F,Using weapons and substances with a certain degree of harm,42.0
2018-02-24,2,F,Using weapons and substances with a certain degree of harm,8.0
2018-03-09,3,F,Using weapons and substances with a certain degree of harm,4.0
2018-03-13,2,F,Unknown,6.0
2018-03-27,10,F,Using weapons and substances with a certain degree of harm,1.0
2018-03-30,1,F,Unknown,19.0
2018-04-05,4,M,No Weapon or Substance Used,1.0
2018-04-08,4,F,Unknown,3.0
2018-04-11,1,F,Unknown,23.0
2018-04-17,6,F,Unknown,1.0
2018-04-18,10,F,Using weapons and substances with a certain degree of harm,1.0
2018-04-18,3,F,Using weapons and substances with a certain degree of harm,3.0
2018-04-22,7,M,Using weapons and substances with a certain degree of harm,1.0
2018-04-28,4,F,Using weapons and substances with a certain degree of harm,3.0
2018-05-01,1,F,Using weapons and substances with a certain degree of harm,37.0
2018-05-16,4,F,Unknown,1.0
2018-06-15,4,F,Using weapons and substances with a certain degree of harm,2.0
2018-06-20,1,F,No Weapon or Substance Used,14.0
2018-07-17,5,M,Unknown,1.0
2018-07-24,1,M,Using weapons and substances with a certain degree of harm,9.0
2018-07-28,1,F,Unknown,14.0
2018-08-02,4,F,Unknown,2.0
2018-08-18,1,F,Unknown,16.0
2018-09-14,1,M,No Weapon or Substance Used,1.0
2018-09-24,3,F,Unknown,2.0
2018-10-07,3,F,Unknown,1.0
2018-10-22,3,M,Unknown,2.0
2018-10-29,1,M,Unknown,8.0
2018-10-29,1,F,No Weapon or Substance Used,11.0
2018-11-02,1,F,Using weapons and substances with a certain degree of harm,19.0
2018-11-12,1,F,Using weapons and substances with a certain degree of harm,33.0
2018-12-12,4,F,Unknown,1.0
2018-12-30,1,F,Unknown,24.0
2019-01-08,3,M,No Weapon or Substance Used,1.0
2019-01-13,6,F,Using weapons and substances with a certain degree of harm,1.0
2019-01-28,2,M,Using weapons and substances with a certain degree of harm,3.0
2019-02-03,3,M,No Weapon or Substance Used,1.0
2019-02-15,3,M,No Weapon or Substance Used,1.0
2019-02-27,11,M,Unknown,1.0
2019-03-07,3,F,Unknown,3.0
2019-03-16,4,F,Unknown,1.0
2019-03-19,13,F,Using weapons and substances with a certain degree of harm,1.0
2019-04-05,1,M,Unknown,5.0
2019-04-15,4,F,Unknown,2.0
2019-04-27,2,M,Using weapons and substances with a certain degree of harm,5.0
2019-04-28,1,F,No Weapon or Substance Used,18.0
2019-04-29,8,F,Unknown,1.0
2019-05-03,6,M,Unknown,1.0
2019-05-06,3,F,Unknown,3.0
2019-05-17,9,M,Unknown,1.0
2019-05-17,1,F,Unknown,24.0
2019-06-06,7,F,Unknown,1.0
2019-06-10,3,F,Unknown,1.0
2019-06-25,2,F,No Weapon or Substance Used,2.0
2019-07-08,3,F,Unknown,2.0
2019-08-04,6,F,No Weapon or Substance Used,2.0
2019-08-06,3,M,Using weapons and substances with a certain degree of harm,1.0
2019-08-19,2,F,Unknown,6.0
2019-08-21,2,M,No Weapon or Substance Used,1.0
2019-09-15,7,F,Unknown,1.0
2019-09-17,3,F,Unknown,3.0
2019-10-20,3,F,No Weapon or Substance Used,1.0
2019-10-28,4,F,No Weapon or Substance Used,1.0
2019-11-15,12,M,Unknown,1.0
2019-11-20,1,F,No Weapon or Substance Used,19.0
2019-11-21,12,M,Unknown,1.0
2019-11-21,2,F,Unknown,8.0
2019-11-22,6,F,Unknown,1.0
2019-11-25,5,F,No Weapon or Substance Used,1.0
2019-12-16,5,F,Using weapons and substances with a certain degree of harm,1.0
2019-12-29,2,M,Unknown,1.0
2020-03-04,1,F,Using weapons and substances with a certain degree of harm,148.0
2020-03-17,2,F,Unknown,1.0
