Country,Gender,Demographics Question,Demographics Response,Question,Survey Year,Value
Afghanistan,F,Employment,Employed for kind,... if she refuses to have sex with him,01/01/2015,5.603570256410664
Afghanistan,F,Employment,Unemployed,... if she refuses to have sex with him,01/01/2015,5.805170175192064
Afghanistan,F,Marital status,Married or living together,... for at least one specific reason,01/01/2015,8.977750190004237
Afghanistan,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,01/01/2015,8.221921823644463
Afghanistan,F,Marital status,Married or living together,... if she argues with him,01/01/2015,7.713624310270756
Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she argues with him,01/01/2015,7.176350047203662
Afghanistan,F,Marital status,Married or living together,... if she goes out without telling him,01/01/2015,8.191458873370548
Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,01/01/2015,7.648529270389178
Afghanistan,F,Marital status,Married or living together,... if she neglects the children,01/01/2015,6.971369913734394
Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,01/01/2015,6.565058908655816
Afghanistan,F,Marital status,Married or living together,... if she refuses to have sex with him,01/01/2015,5.787918451395113
Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,01/01/2015,5.394441619062136
Afghanistan,F,Residence,Rural,... for at least one specific reason,01/01/2015,9.060904947858194
Afghanistan,F,Residence,Urban,... for at least one specific reason,01/01/2015,8.602325267042627
Afghanistan,F,Residence,Rural,... if she argues with him,01/01/2015,7.784600084405177
Afghanistan,F,Residence,Urban,... if she argues with him,01/01/2015,7.395944886418466
Afghanistan,F,Residence,Rural,... if she goes out without telling him,01/01/2015,8.324662338603158
Afghanistan,F,Residence,Urban,... if she goes out without telling him,01/01/2015,7.674633641150495
Afghanistan,F,Residence,Rural,... if she neglects the children,01/01/2015,6.992853603921571
Afghanistan,F,Residence,Urban,... if she neglects the children,01/01/2015,6.833739881129472
Afghanistan,F,Residence,Rural,... if she refuses to have sex with him,01/01/2015,5.932958853973239
Afghanistan,F,Residence,Urban,... if she refuses to have sex with him,01/01/2015,5.234500894882937
Afghanistan,M,Age,15-24,... for at least one specific reason,01/01/2015,8.608135598032892
Afghanistan,M,Age,25-34,... for at least one specific reason,01/01/2015,8.396427811873332
Afghanistan,M,Age,35-49,... for at least one specific reason,01/01/2015,8.579044146880298
Afghanistan,M,Age,15-24,... if she argues with him,01/01/2015,6.663332614081253
Afghanistan,M,Age,25-34,... if she argues with him,01/01/2015,6.678323028584429
Afghanistan,M,Age,35-49,... if she argues with him,01/01/2015,6.8264191545876445
Afghanistan,M,Age,15-24,... if she goes out without telling him,01/01/2015,7.956129664419789
Afghanistan,M,Age,25-34,... if she goes out without telling him,01/01/2015,7.771743789258554
Afghanistan,M,Age,35-49,... if she goes out without telling him,01/01/2015,7.810249675906654
Afghanistan,M,Age,15-24,... if she neglects the children,01/01/2015,4.979959762594528
Afghanistan,M,Age,25-34,... if she neglects the children,01/01/2015,5.196152422706632
Afghanistan,M,Age,35-49,... if she neglects the children,01/01/2015,5.06951681750238
Afghanistan,M,Age,15-24,... if she refuses to have sex with him,01/01/2015,4.615192221030512
Afghanistan,M,Age,25-34,... if she refuses to have sex with him,01/01/2015,4.301162633521313
Afghanistan,M,Age,35-49,... if she refuses to have sex with him,01/01/2015,4.483302396835365
Afghanistan,M,Education,Higher,... for at least one specific reason,01/01/2015,7.44983221287567
Afghanistan,M,Education,No education,... for at least one specific reason,01/01/2015,8.797727065889172
Afghanistan,M,Education,Primary,... for at least one specific reason,01/01/2015,8.252272321859058
Afghanistan,M,Education,Secondary,... for at least one specific reason,01/01/2015,8.342661354395316
Afghanistan,M,Education,Higher,... if she argues with him,01/01/2015,5.603570256410664
Afghanistan,M,Education,No education,... if she argues with him,01/01/2015,7.085195887407733
Afghanistan,M,Education,Primary,... if she argues with him,01/01/2015,6.4031242374328485
Afghanistan,M,Education,Secondary,... if she argues with him,01/01/2015,6.5421708352091015
Afghanistan,M,Education,Higher,... if she goes out without telling him,01/01/2015,6.603029492143822
Afghanistan,M,Education,No education,... if she goes out without telling him,01/01/2015,8.12403840463596
Afghanistan,M,Education,Primary,... if she goes out without telling him,01/01/2015,7.476630359050721
Afghanistan,M,Education,Secondary,... if she goes out without telling him,01/01/2015,7.713624310270756
Afghanistan,M,Education,Higher,... if she neglects the children,01/01/2015,4.57165173854377
Afghanistan,M,Education,No education,... if she neglects the children,01/01/2015,5.449770707372876
Afghanistan,M,Education,Primary,... if she neglects the children,01/01/2015,4.722287500466331
Afghanistan,M,Education,Secondary,... if she neglects the children,01/01/2015,4.795831523312719
Afghanistan,M,Education,Higher,... if she refuses to have sex with him,01/01/2015,3.449637606840793
Afghanistan,M,Education,No education,... if she refuses to have sex with him,01/01/2015,4.816637910715259
Afghanistan,M,Education,Primary,... if she refuses to have sex with him,01/01/2015,4.171330677197658
Afghanistan,M,Education,Secondary,... if she refuses to have sex with him,01/01/2015,3.9874803596419475
Afghanistan,M,Employment,Employed for cash,... for at least one specific reason,01/01/2015,8.520563272115353
Afghanistan,M,Employment,Employed for kind,... for at least one specific reason,01/01/2015,8.573214099741124
Afghanistan,M,Employment,Unemployed,... for at least one specific reason,01/01/2015,8.209750393640412
Afghanistan,M,Employment,Employed for cash,... if she argues with him,01/01/2015,6.745368781616021
Afghanistan,M,Employment,Employed for kind,... if she argues with him,01/01/2015,6.913754351801961
Afghanistan,M,Employment,Unemployed,... if she argues with him,01/01/2015,6.410928050923758
Afghanistan,M,Employment,Employed for cash,... if she goes out without telling him,01/01/2015,7.803845303815223
Afghanistan,M,Employment,Employed for kind,... if she goes out without telling him,01/01/2015,8.105553463412734
Afghanistan,M,Employment,Unemployed,... if she goes out without telling him,01/01/2015,7.402702157797553
Afghanistan,M,Employment,Employed for cash,... if she neglects the children,01/01/2015,5.059644293966694
Afghanistan,M,Employment,Employed for kind,... if she neglects the children,01/01/2015,5.5317267088559
Afghanistan,M,Employment,Unemployed,... if she neglects the children,01/01/2015,5.639148804301988
Afghanistan,M,Employment,Employed for cash,... if she refuses to have sex with him,01/01/2015,4.347412979983645
Afghanistan,M,Employment,Employed for kind,... if she refuses to have sex with him,01/01/2015,5.272570458235769
Afghanistan,M,Employment,Unemployed,... if she refuses to have sex with him,01/01/2015,4.123105625617661
Afghanistan,M,Marital status,Married or living together,... for at least one specific reason,01/01/2015,8.520563272115353
Afghanistan,M,Marital status,"Widowed, divorced, separated",... for at least one specific reason,01/01/2015,6.98569962402196
Afghanistan,M,Marital status,Married or living together,... if she argues with him,01/01/2015,6.745368781616021
Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she argues with him,01/01/2015,5.924525168662979
Afghanistan,M,Marital status,Married or living together,... if she goes out without telling him,01/01/2015,7.829431603702822
Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,01/01/2015,6.041522986797286
Afghanistan,M,Marital status,Married or living together,... if she neglects the children,01/01/2015,5.108815947112376
Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,01/01/2015,5.412947370616173
Afghanistan,M,Marital status,Married or living together,... if she refuses to have sex with him,01/01/2015,4.438468290180685
Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,01/01/2015,2.23606797749979
Afghanistan,M,Residence,Rural,... for at least one specific reason,01/01/2015,8.723531307568116
Afghanistan,M,Residence,Urban,... for at least one specific reason,01/01/2015,7.7395091269329805
Afghanistan,M,Residence,Rural,... if she argues with him,01/01/2015,6.855654600401044
Afghanistan,M,Residence,Urban,... if she argues with him,01/01/2015,6.356099552860929
Afghanistan,M,Residence,Rural,... if she goes out without telling him,01/01/2015,8.099382598329399
Afghanistan,M,Residence,Urban,... if she goes out without telling him,01/01/2015,6.782329983125268
Afghanistan,M,Residence,Rural,... if she neglects the children,01/01/2015,5.300943348260734
Afghanistan,M,Residence,Urban,... if she neglects the children,01/01/2015,4.427188767318345
Afghanistan,M,Residence,Rural,... if she refuses to have sex with him,01/01/2015,4.67974354196149
Afghanistan,M,Residence,Urban,... if she refuses to have sex with him,01/01/2015,3.4641016151377544
Albania,F,Education,Higher,... if she burns the food,01/01/2017,0.4472135988319589
Albania,F,Residence,Urban,... if she burns the food,01/01/2017,0.6324555367458368
Albania,F,Age,15-24,... if she burns the food,01/01/2017,0.7745966846313364
Albania,F,Education,Secondary,... if she burns the food,01/01/2017,0.7745966846313364
Albania,F,Employment,Employed for cash,... if she burns the food,01/01/2017,0.7745966846313364
Albania,F,Marital status,Never married,... if she burns the food,01/01/2017,0.7745966846313364
Albania,F,Marital status,"Widowed, divorced, separated",... if she burns the food,01/01/2017,0.7745966846313364
Albania,F,Age,25-34,... if she burns the food,01/01/2017,0.8944271976639178
Albania,F,Employment,Unemployed,... if she burns the food,01/01/2017,0.8944271976639178
Albania,F,Marital status,Married or living together,... if she burns the food,01/01/2017,0.9486832854847512
Albania,F,Age,35-49,... if she burns the food,01/01/2017,1.0
Albania,F,Education,Primary,... if she burns the food,01/01/2017,1.140175404188445
Albania,F,Residence,Rural,... if she burns the food,01/01/2017,1.1832159465448993
Albania,F,Employment,Employed for kind,... if she burns the food,01/01/2017,1.5491933692626727
Albania,F,Education,No education,... if she burns the food,01/01/2017,2.4083189553576294
Albania,M,Education,No education,... if she burns the food,01/01/2017,0.0
Albania,M,Age,25-34,... if she burns the food,01/01/2017,0.4472135988319589
Albania,M,Education,Secondary,... if she burns the food,01/01/2017,0.4472135988319589
Albania,M,Employment,Employed for cash,... if she burns the food,01/01/2017,0.5477225683874355
Albania,M,Age,35-49,... if she burns the food,01/01/2017,0.6324555367458368
Albania,M,Marital status,Never married,... if she burns the food,01/01/2017,0.6324555367458368
Albania,M,Employment,Employed for kind,... if she burns the food,01/01/2017,0.7071067811865476
Albania,M,Residence,Rural,... if she burns the food,01/01/2017,0.7071067811865476
Albania,M,Residence,Urban,... if she burns the food,01/01/2017,0.7071067811865476
Albania,M,Marital status,Married or living together,... if she burns the food,01/01/2017,0.7745966846313364
Albania,M,Education,Higher,... if she burns the food,01/01/2017,0.8944271976639178
Albania,M,Education,Primary,... if she burns the food,01/01/2017,0.8944271976639178
Albania,M,Employment,Unemployed,... if she burns the food,01/01/2017,0.8944271976639178
Albania,M,Age,15-24,... if she burns the food,01/01/2017,0.9486832854847512
Albania,M,Marital status,"Widowed, divorced, separated",... if she burns the food,01/01/2017,1.2649110734916735
Albania,F,Age,15-24,... for at least one specific reason,01/01/2017,2.1679482948781637
Albania,F,Age,25-34,... for at least one specific reason,01/01/2017,2.6267851254656196
Albania,F,Age,35-49,... for at least one specific reason,01/01/2017,2.8635641793515187
Albania,F,Age,15-24,... if she argues with him,01/01/2017,1.0
Albania,F,Age,25-34,... if she argues with him,01/01/2017,1.3038404993264
Albania,F,Age,35-49,... if she argues with him,01/01/2017,1.5491933692626727
Albania,F,Age,15-24,... if she goes out without telling him,01/01/2017,1.4142135623730951
Albania,F,Age,25-34,... if she goes out without telling him,01/01/2017,1.9235384185619262
Albania,F,Age,35-49,... if she goes out without telling him,01/01/2017,2.190890273549742
Albania,F,Age,15-24,... if she neglects the children,01/01/2017,1.8708286933869707
Albania,F,Age,25-34,... if she neglects the children,01/01/2017,2.3237900282442543
Albania,F,Age,35-49,... if she neglects the children,01/01/2017,2.5099801175975207
Albania,F,Age,15-24,... if she refuses to have sex with him,01/01/2017,0.7745966846313364
Albania,F,Age,25-34,... if she refuses to have sex with him,01/01/2017,1.0488088595363112
Albania,F,Age,35-49,... if she refuses to have sex with him,01/01/2017,1.0
Albania,F,Education,Higher,... for at least one specific reason,01/01/2017,1.1832159465448993
Albania,F,Education,No education,... for at least one specific reason,01/01/2017,5.128352487598775
Albania,F,Education,Primary,... for at least one specific reason,01/01/2017,3.3316663070406265
Albania,F,Education,Secondary,... for at least one specific reason,01/01/2017,2.345207879911715
Albania,F,Education,Higher,... if she argues with him,01/01/2017,0.6324555367458368
Albania,F,Education,No education,... if she argues with him,01/01/2017,3.42052624741649
Albania,F,Education,Primary,... if she argues with him,01/01/2017,1.7888543953278355
Albania,F,Education,Secondary,... if she argues with him,01/01/2017,1.0488088595363112
Albania,F,Education,Higher,... if she goes out without telling him,01/01/2017,0.5477225683874355
Albania,F,Education,No education,... if she goes out without telling him,01/01/2017,3.8600517637112426
Albania,F,Education,Primary,... if she goes out without telling him,01/01/2017,2.6267851254656196
Albania,F,Education,Secondary,... if she goes out without telling him,01/01/2017,1.5491933692626727
Albania,F,Education,Higher,... if she neglects the children,01/01/2017,1.0488088595363112
Albania,F,Education,No education,... if she neglects the children,01/01/2017,4.593473672665353
Albania,F,Education,Primary,... if she neglects the children,01/01/2017,2.9325757247630837
Albania,F,Education,Secondary,... if she neglects the children,01/01/2017,2.0493901066573774
Albania,F,Education,Higher,... if she refuses to have sex with him,01/01/2017,0.3162277683729184
Albania,F,Education,No education,... if she refuses to have sex with him,01/01/2017,2.5099801175975207
Albania,F,Education,Primary,... if she refuses to have sex with him,01/01/2017,1.224744871391589
Albania,F,Education,Secondary,... if she refuses to have sex with him,01/01/2017,0.7745966846313364
Albania,F,Employment,Employed for cash,... for at least one specific reason,01/01/2017,2.0248456495823497
Albania,F,Employment,Employed for kind,... for at least one specific reason,01/01/2017,4.123105625617661
Albania,F,Employment,Unemployed,... for at least one specific reason,01/01/2017,2.756809733121343
Albania,F,Employment,Employed for cash,... if she argues with him,01/01/2017,1.095445136774871
Albania,F,Employment,Employed for kind,... if she argues with him,01/01/2017,2.6267851254656196
Albania,F,Employment,Unemployed,... if she argues with him,01/01/2017,1.3038404993264
Albania,F,Employment,Employed for cash,... if she goes out without telling him,01/01/2017,1.341640768729202
Albania,F,Employment,Employed for kind,... if she goes out without telling him,01/01/2017,2.9832867141007875
Albania,F,Employment,Unemployed,... if she goes out without telling him,01/01/2017,2.0976177190726224
Albania,F,Employment,Employed for cash,... if she neglects the children,01/01/2017,1.7888543953278355
Albania,F,Employment,Employed for kind,... if she neglects the children,01/01/2017,3.687817834637406
Albania,F,Employment,Unemployed,... if she neglects the children,01/01/2017,2.4083189553576294
Albania,F,Employment,Employed for cash,... if she refuses to have sex with him,01/01/2017,0.8366600194099578
Albania,F,Employment,Employed for kind,... if she refuses to have sex with him,01/01/2017,1.7320508075688772
Albania,F,Employment,Unemployed,... if she refuses to have sex with him,01/01/2017,0.8944271976639178
Albania,F,Marital status,Married or living together,... for at least one specific reason,01/01/2017,2.8106938814761437
Albania,F,Marital status,Never married,... for at least one specific reason,01/01/2017,2.073644181323031
Albania,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,01/01/2017,2.6457513110645907
Albania,F,Marital status,Married or living together,... if she argues with him,01/01/2017,1.4142135623730951
Albania,F,Marital status,Never married,... if she argues with him,01/01/2017,1.0488088595363112
Albania,F,Marital status,"Widowed, divorced, separated",... if she argues with him,01/01/2017,1.843908917318703
Albania,F,Marital status,Married or living together,... if she goes out without telling him,01/01/2017,2.1447610367200745
Albania,F,Marital status,Never married,... if she goes out without telling him,01/01/2017,1.3038404993264
Albania,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,01/01/2017,1.5165750730894545
Albania,F,Marital status,Married or living together,... if she neglects the children,01/01/2017,2.4698177877391214
Albania,F,Marital status,Never married,... if she neglects the children,01/01/2017,1.7888543953278355
Albania,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,01/01/2017,2.2583179370125386
Albania,F,Marital status,Married or living together,... if she refuses to have sex with him,01/01/2017,1.0
Albania,F,Marital status,Never married,... if she refuses to have sex with him,01/01/2017,0.7071067811865476
Albania,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,01/01/2017,1.0488088595363112
Albania,F,Residence,Rural,... for at least one specific reason,01/01/2017,3.209361336891635
Albania,F,Residence,Urban,... for at least one specific reason,01/01/2017,2.1213203435596424
Albania,F,Residence,Rural,... if she argues with him,01/01/2017,1.76068165908337
Albania,F,Residence,Urban,... if she argues with him,01/01/2017,0.9486832854847512
Albania,F,Residence,Rural,... if she goes out without telling him,01/01/2017,2.3874672373176424
Albania,F,Residence,Urban,... if she goes out without telling him,01/01/2017,1.5165750730894545
Albania,F,Residence,Rural,... if she neglects the children,01/01/2017,2.774887350734285
Albania,F,Residence,Urban,... if she neglects the children,01/01/2017,1.8973665709695025
Albania,F,Residence,Rural,... if she refuses to have sex with him,01/01/2017,1.2649110734916735
Albania,F,Residence,Urban,... if she refuses to have sex with him,01/01/2017,0.7071067811865476
Albania,M,Age,15-24,... for at least one specific reason,01/01/2017,3.301514746071911
Albania,M,Age,25-34,... for at least one specific reason,01/01/2017,3.361547291164422
Albania,M,Age,35-49,... for at least one specific reason,01/01/2017,3.4351128352260663
Albania,M,Age,15-24,... if she argues with him,01/01/2017,2.0976177190726224
Albania,M,Age,25-34,... if she argues with him,01/01/2017,1.8708286933869707
Albania,M,Age,35-49,... if she argues with him,01/01/2017,2.0493901066573774
Albania,M,Age,15-24,... if she goes out without telling him,01/01/2017,2.3021729280692322
Albania,M,Age,25-34,... if she goes out without telling him,01/01/2017,2.4698177877391214
Albania,M,Age,35-49,... if she goes out without telling him,01/01/2017,2.7928480429008062
Albania,M,Age,15-24,... if she neglects the children,01/01/2017,2.6645825009994657
Albania,M,Age,25-34,... if she neglects the children,01/01/2017,2.9325757247630837
Albania,M,Age,35-49,... if she neglects the children,01/01/2017,2.880972091280105
Albania,M,Age,15-24,... if she refuses to have sex with him,01/01/2017,1.7320508075688772
Albania,M,Age,25-34,... if she refuses to have sex with him,01/01/2017,1.5811388300841898
Albania,M,Age,35-49,... if she refuses to have sex with him,01/01/2017,1.0488088595363112
Albania,M,Education,Higher,... for at least one specific reason,01/01/2017,2.3237900282442543
Albania,M,Education,No education,... for at least one specific reason,01/01/2017,5.157518820272954
Albania,M,Education,Primary,... for at least one specific reason,01/01/2017,3.8209946848261547
Albania,M,Education,Secondary,... for at least one specific reason,01/01/2017,3.3466400776398313
Albania,M,Education,Higher,... if she argues with him,01/01/2017,1.4832397134933097
Albania,M,Education,No education,... if she argues with him,01/01/2017,3.9115214675027494
Albania,M,Education,Primary,... if she argues with him,01/01/2017,2.4289915799292987
Albania,M,Education,Secondary,... if she argues with him,01/01/2017,1.7888543953278355
Albania,M,Education,Higher,... if she goes out without telling him,01/01/2017,1.643167687025191
Albania,M,Education,No education,... if she goes out without telling him,01/01/2017,5.0398412294962505
Albania,M,Education,Primary,... if she goes out without telling him,01/01/2017,3.0
Albania,M,Education,Secondary,... if she goes out without telling him,01/01/2017,2.4289915799292987
Albania,M,Education,Higher,... if she neglects the children,01/01/2017,1.9493588567311777
Albania,M,Education,No education,... if she neglects the children,01/01/2017,4.722287500466331
Albania,M,Education,Primary,... if she neglects the children,01/01/2017,3.0983867385253454
Albania,M,Education,Secondary,... if she neglects the children,01/01/2017,2.8982752834281067
Albania,M,Education,Higher,... if she refuses to have sex with him,01/01/2017,0.8366600194099578
Albania,M,Education,No education,... if she refuses to have sex with him,01/01/2017,3.7148351498733914
Albania,M,Education,Primary,... if she refuses to have sex with him,01/01/2017,1.76068165908337
Albania,M,Education,Secondary,... if she refuses to have sex with him,01/01/2017,1.3038404993264
Albania,M,Employment,Employed for cash,... for at least one specific reason,01/01/2017,3.286335374050382
Albania,M,Employment,Employed for kind,... for at least one specific reason,01/01/2017,3.0983867385253454
Albania,M,Employment,Unemployed,... for at least one specific reason,01/01/2017,3.52136331816674
Albania,M,Employment,Employed for cash,... if she argues with him,01/01/2017,1.843908917318703
Albania,M,Employment,Employed for kind,... if she argues with him,01/01/2017,1.8973665709695025
Albania,M,Employment,Unemployed,... if she argues with him,01/01/2017,2.23606797749979
Albania,M,Employment,Employed for cash,... if she goes out without telling him,01/01/2017,2.683281537458404
Albania,M,Employment,Employed for kind,... if she goes out without telling him,01/01/2017,2.489979881297264
Albania,M,Employment,Unemployed,... if she goes out without telling him,01/01/2017,2.3664318930897985
Albania,M,Employment,Employed for cash,... if she neglects the children,01/01/2017,2.7386127875258306
Albania,M,Employment,Employed for kind,... if she neglects the children,01/01/2017,2.345207879911715
Albania,M,Employment,Unemployed,... if she neglects the children,01/01/2017,3.016620689027662
Albania,M,Employment,Employed for cash,... if she refuses to have sex with him,01/01/2017,1.140175404188445
Albania,M,Employment,Employed for kind,... if she refuses to have sex with him,01/01/2017,0.9486832854847512
Albania,M,Employment,Unemployed,... if she refuses to have sex with him,01/01/2017,1.8708286933869707
Albania,M,Marital status,Married or living together,... for at least one specific reason,01/01/2017,3.42052624741649
Albania,M,Marital status,Never married,... for at least one specific reason,01/01/2017,3.2557641778036883
Albania,M,Marital status,"Widowed, divorced, separated",... for at least one specific reason,01/01/2017,5.449770707372876
Albania,M,Marital status,Married or living together,... if she argues with him,01/01/2017,2.0248456495823497
Albania,M,Marital status,Never married,... if she argues with him,01/01/2017,1.9493588567311777
Albania,M,Marital status,"Widowed, divorced, separated",... if she argues with him,01/01/2017,3.619392266868808
Albania,M,Marital status,Married or living together,... if she goes out without telling him,01/01/2017,2.774887350734285
Albania,M,Marital status,Never married,... if she goes out without telling him,01/01/2017,2.2583179370125386
Albania,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,01/01/2017,4.086563441687827
Albania,M,Marital status,Married or living together,... if she neglects the children,01/01/2017,2.9154759474226504
Albania,M,Marital status,Never married,... if she neglects the children,01/01/2017,2.683281537458404
