FECHA HECHO,CANTIDAD,GENERO,ARMAS MEDIOS,Number of domestic violence
2015-01-03,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,3
2015-01-03,1,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,1
2015-01-03,3,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-04,5,MASCULINO,CONTUNDENTES,1
2015-01-04,7,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-04,1,MASCULINO,SIN EMPLEO DE ARMAS,3
2015-01-04,1,FEMENINO,SIN EMPLEO DE ARMAS,11
2015-01-04,2,FEMENINO,CONTUNDENTES,8
2015-01-04,6,FEMENINO,CONTUNDENTES,1
2015-01-04,1,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,2
2015-01-04,16,FEMENINO,CONTUNDENTES,1
2015-01-04,1,MASCULINO,CONTUNDENTES,11
2015-01-04,3,FEMENINO,CONTUNDENTES,5
2015-01-04,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,3
2015-01-04,1,FEMENINO,CONTUNDENTES,51
2015-01-04,2,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-04,2,MASCULINO,SIN EMPLEO DE ARMAS,1
2015-01-04,8,FEMENINO,CONTUNDENTES,1
2015-01-04,2,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,1
2015-01-04,2,MASCULINO,CONTUNDENTES,2
2015-01-05,1,FEMENINO,CONTUNDENTES,41
2015-01-05,3,MASCULINO,SIN EMPLEO DE ARMAS,1
2015-01-05,3,FEMENINO,CONTUNDENTES,4
2015-01-05,1,FEMENINO,ESCOPOLAMINA,1
2015-01-05,1,FEMENINO,ARMA DE FUEGO,1
2015-01-05,3,MASCULINO,CONTUNDENTES,2
2015-01-05,1,MASCULINO,SIN EMPLEO DE ARMAS,6
2015-01-05,1,MASCULINO,ARMA DE FUEGO,1
2015-01-05,3,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-05,2,FEMENINO,SIN EMPLEO DE ARMAS,2
2015-01-05,11,FEMENINO,CONTUNDENTES,1
2015-01-05,1,MASCULINO,PUNZANTES,1
2015-01-05,1,FEMENINO,SIN EMPLEO DE ARMAS,12
2015-01-05,2,FEMENINO,CONTUNDENTES,4
2015-01-05,1,MASCULINO,CONTUNDENTES,13
2015-01-05,1,FEMENINO,NO REPORTA,1
2015-01-05,6,FEMENINO,CONTUNDENTES,1
2015-01-05,6,MASCULINO,CONTUNDENTES,1
2015-01-05,2,MASCULINO,CONTUNDENTES,2
2015-01-05,2,MASCULINO,SIN EMPLEO DE ARMAS,1
2015-01-05,5,FEMENINO,CONTUNDENTES,3
2015-01-06,1,FEMENINO,CORTANTES,1
2015-01-06,3,FEMENINO,CONTUNDENTES,1
2015-01-06,1,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,2
2015-01-06,1,FEMENINO,SIN EMPLEO DE ARMAS,8
2015-01-06,1,FEMENINO,NO REPORTA,3
2015-01-06,1,FEMENINO,ESCOPOLAMINA,1
2015-01-06,2,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-06,3,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-06,1,MASCULINO,NO REPORTA,1
2015-01-06,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,2
2015-01-06,7,FEMENINO,CONTUNDENTES,1
2015-01-06,16,FEMENINO,CONTUNDENTES,1
2015-01-06,1,MASCULINO,SIN EMPLEO DE ARMAS,3
2015-01-06,4,FEMENINO,CONTUNDENTES,1
2015-01-06,1,MASCULINO,CONTUNDENTES,12
2015-01-06,2,FEMENINO,CONTUNDENTES,8
2015-01-06,1,FEMENINO,CONTUNDENTES,28
2015-01-06,2,MASCULINO,CONTUNDENTES,3
2015-01-06,5,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-06,1,FEMENINO,PUNZANTES,1
2015-01-07,5,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-07,4,FEMENINO,CONTUNDENTES,1
2015-01-07,2,FEMENINO,CONTUNDENTES,6
2015-01-07,2,FEMENINO,SIN EMPLEO DE ARMAS,3
2015-01-07,4,MASCULINO,CONTUNDENTES,1
2015-01-07,1,FEMENINO,CORTOPUNZANTES,2
2015-01-07,11,FEMENINO,CONTUNDENTES,1
2015-01-07,1,MASCULINO,CONTUNDENTES,10
2015-01-07,1,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,3
2015-01-07,3,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-07,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,4
2015-01-07,8,FEMENINO,CONTUNDENTES,1
2015-01-07,1,MASCULINO,SIN EMPLEO DE ARMAS,6
2015-01-07,3,MASCULINO,CONTUNDENTES,1
2015-01-07,1,MASCULINO,CORTANTES,1
2015-01-07,2,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,1
2015-01-07,1,FEMENINO,CONTUNDENTES,39
2015-01-07,2,MASCULINO,SIN EMPLEO DE ARMAS,1
2015-01-07,1,FEMENINO,SIN EMPLEO DE ARMAS,10
2015-01-07,5,FEMENINO,CONTUNDENTES,1
2015-01-07,1,FEMENINO,ARMA DE FUEGO,2
2015-01-07,7,FEMENINO,CONTUNDENTES,1
2015-01-07,2,MASCULINO,CONTUNDENTES,1
2015-01-08,2,FEMENINO,SIN EMPLEO DE ARMAS,3
2015-01-08,1,FEMENINO,SIN EMPLEO DE ARMAS,8
2015-01-08,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,2
2015-01-08,2,MASCULINO,SIN EMPLEO DE ARMAS,1
2015-01-08,1,FEMENINO,CONTUNDENTES,24
2015-01-08,1,FEMENINO,NO REPORTA,3
2015-01-08,5,FEMENINO,CONTUNDENTES,2
2015-01-08,2,FEMENINO,CONTUNDENTES,1
2015-01-08,4,FEMENINO,CONTUNDENTES,1
2015-01-08,1,MASCULINO,CONTUNDENTES,11
2015-01-08,1,MASCULINO,SIN EMPLEO DE ARMAS,2
2015-01-08,1,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,3
2015-01-08,3,FEMENINO,CONTUNDENTES,2
2015-01-08,6,FEMENINO,CONTUNDENTES,2
2015-01-08,1,FEMENINO,CORTOPUNZANTES,2
2015-01-08,1,MASCULINO,NO REPORTA,1
2015-01-09,1,MASCULINO,SIN EMPLEO DE ARMAS,5
2015-01-09,2,MASCULINO,CONTUNDENTES,2
2015-01-09,1,FEMENINO,CONTUNDENTES,22
2015-01-09,3,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-09,12,FEMENINO,CONTUNDENTES,1
2015-01-09,4,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-09,1,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,3
2015-01-09,5,FEMENINO,CONTUNDENTES,1
2015-01-09,2,FEMENINO,CONTUNDENTES,3
2015-01-09,1,FEMENINO,ARMA DE FUEGO,2
2015-01-09,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,2
2015-01-09,4,FEMENINO,CONTUNDENTES,2
2015-01-09,1,MASCULINO,CONTUNDENTES,9
2015-01-09,2,FEMENINO,SIN EMPLEO DE ARMAS,3
2015-01-09,1,FEMENINO,SIN EMPLEO DE ARMAS,10
2015-01-10,1,MASCULINO,CONTUNDENTES,6
2015-01-10,3,FEMENINO,CONTUNDENTES,4
2015-01-10,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,3
2015-01-10,1,MASCULINO,ESCOPOLAMINA,2
2015-01-10,1,FEMENINO,CORTOPUNZANTES,2
2015-01-10,3,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-10,1,FEMENINO,SIN EMPLEO DE ARMAS,2
2015-01-10,2,FEMENINO,CONTUNDENTES,4
2015-01-10,1,FEMENINO,NO REPORTA,1
2015-01-10,2,FEMENINO,SIN EMPLEO DE ARMAS,2
2015-01-10,1,FEMENINO,CONTUNDENTES,34
2015-01-10,2,MASCULINO,CONTUNDENTES,3
2015-01-10,1,MASCULINO,SIN EMPLEO DE ARMAS,2
2015-01-10,5,FEMENINO,CONTUNDENTES,1
2015-01-10,3,MASCULINO,CONTUNDENTES,1
2015-01-10,1,FEMENINO,CORTANTES,2
2015-01-11,6,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-11,1,FEMENINO,CORTANTES,1
2015-01-11,1,MASCULINO,SIN EMPLEO DE ARMAS,1
2015-01-11,2,FEMENINO,CONTUNDENTES,6
2015-01-11,3,MASCULINO,CONTUNDENTES,1
2015-01-11,3,FEMENINO,CONTUNDENTES,4
2015-01-11,2,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,1
2015-01-11,1,FEMENINO,ARMA DE FUEGO,1
2015-01-11,2,MASCULINO,SIN EMPLEO DE ARMAS,1
2015-01-11,1,MASCULINO,CONTUNDENTES,10
2015-01-11,1,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,1
2015-01-11,2,FEMENINO,SIN EMPLEO DE ARMAS,2
2015-01-11,1,FEMENINO,CONTUNDENTES,38
2015-01-11,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,6
2015-01-11,1,FEMENINO,SIN EMPLEO DE ARMAS,11
2015-01-11,4,FEMENINO,CONTUNDENTES,1
2015-01-12,3,MASCULINO,CONTUNDENTES,1
2015-01-12,1,FEMENINO,ESCOPOLAMINA,2
2015-01-12,1,FEMENINO,CORTANTES,2
2015-01-12,1,FEMENINO,CONTUNDENTES,40
2015-01-12,4,FEMENINO,CONTUNDENTES,3
2015-01-12,1,FEMENINO,NO REPORTA,2
2015-01-12,2,FEMENINO,CONTUNDENTES,7
2015-01-12,7,FEMENINO,CONTUNDENTES,1
2015-01-12,6,MASCULINO,CONTUNDENTES,1
2015-01-12,2,FEMENINO,SIN EMPLEO DE ARMAS,2
2015-01-12,1,MASCULINO,NO REPORTA,1
2015-01-12,2,MASCULINO,CONTUNDENTES,2
2015-01-12,1,MASCULINO,CONTUNDENTES,14
2015-01-12,5,FEMENINO,CONTUNDENTES,1
2015-01-12,1,FEMENINO,SIN EMPLEO DE ARMAS,8
2015-01-12,7,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-12,3,FEMENINO,CONTUNDENTES,4
2015-01-12,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,3
2015-01-12,1,MASCULINO,SIN EMPLEO DE ARMAS,2
2015-01-12,1,MASCULINO,CORTOPUNZANTES,1
2015-01-12,1,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,2
2015-01-12,1,MASCULINO,CORTANTES,1
2015-01-12,6,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-13,1,MASCULINO,CONTUNDENTES,12
2015-01-13,3,MASCULINO,CONTUNDENTES,1
2015-01-13,1,MASCULINO,CORTOPUNZANTES,1
2015-01-13,4,FEMENINO,CONTUNDENTES,3
2015-01-13,3,FEMENINO,CONTUNDENTES,3
2015-01-13,1,FEMENINO,SIN EMPLEO DE ARMAS,15
2015-01-13,1,MASCULINO,SIN EMPLEO DE ARMAS,4
2015-01-13,1,FEMENINO,CORTOPUNZANTES,1
2015-01-13,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,3
2015-01-13,3,MASCULINO,SIN EMPLEO DE ARMAS,2
2015-01-13,1,FEMENINO,CONTUNDENTES,39
2015-01-13,1,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,1
2015-01-13,3,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-13,1,FEMENINO,NO REPORTA,1
2015-01-13,16,FEMENINO,CONTUNDENTES,1
2015-01-13,7,FEMENINO,CONTUNDENTES,1
2015-01-13,2,FEMENINO,SIN EMPLEO DE ARMAS,4
2015-01-13,2,FEMENINO,CONTUNDENTES,5
2015-01-13,7,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-14,2,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-14,4,MASCULINO,CONTUNDENTES,1
2015-01-14,6,FEMENINO,CONTUNDENTES,1
2015-01-14,4,FEMENINO,CONTUNDENTES,1
2015-01-14,1,FEMENINO,SIN EMPLEO DE ARMAS,19
2015-01-14,5,FEMENINO,CONTUNDENTES,1
2015-01-14,2,FEMENINO,CONTUNDENTES,6
2015-01-14,1,FEMENINO,NO REPORTA,1
2015-01-14,1,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,3
2015-01-14,1,FEMENINO,CORTANTES,1
2015-01-14,1,MASCULINO,CONTUNDENTES,9
2015-01-14,1,FEMENINO,CONTUNDENTES,25
2015-01-14,7,FEMENINO,SIN EMPLEO DE ARMAS,2
2015-01-14,1,MASCULINO,SIN EMPLEO DE ARMAS,6
2015-01-14,3,FEMENINO,CONTUNDENTES,3
2015-01-14,2,MASCULINO,CONTUNDENTES,2
2015-01-14,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,3
2015-01-14,4,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-14,11,FEMENINO,CONTUNDENTES,1
2015-01-14,1,FEMENINO,CORTOPUNZANTES,2
2015-01-14,4,MASCULINO,SIN EMPLEO DE ARMAS,1
2015-01-15,10,FEMENINO,CONTUNDENTES,1
2015-01-15,5,FEMENINO,CONTUNDENTES,1
2015-01-15,4,MASCULINO,CONTUNDENTES,1
2015-01-15,1,FEMENINO,CORTANTES,1
2015-01-15,3,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-15,1,MASCULINO,CONTUNDENTES,8
2015-01-15,15,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-15,2,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-15,1,FEMENINO,SIN EMPLEO DE ARMAS,16
2015-01-15,2,MASCULINO,CONTUNDENTES,1
2015-01-15,4,FEMENINO,CONTUNDENTES,2
2015-01-15,9,FEMENINO,CONTUNDENTES,1
2015-01-15,2,FEMENINO,CONTUNDENTES,5
2015-01-15,1,FEMENINO,CORTOPUNZANTES,1
2015-01-15,1,FEMENINO,CONTUNDENTES,31
2015-01-15,4,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-15,3,MASCULINO,CONTUNDENTES,1
2015-01-15,1,MASCULINO,SIN EMPLEO DE ARMAS,4
2015-01-15,1,MASCULINO,NO REPORTA,1
2015-01-15,1,FEMENINO,ARMA DE FUEGO,1
2015-01-15,1,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,1
2015-01-15,1,FEMENINO,NO REPORTA,1
2015-01-15,1,MASCULINO,CORTANTES,1
2015-01-15,1,FEMENINO,ESCOPOLAMINA,1
2015-01-15,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,6
2015-01-15,3,FEMENINO,CONTUNDENTES,3
2015-01-16,2,FEMENINO,ESCOPOLAMINA,1
2015-01-16,1,FEMENINO,CONTUNDENTES,33
2015-01-16,2,MASCULINO,CONTUNDENTES,1
2015-01-16,3,FEMENINO,SIN EMPLEO DE ARMAS,2
2015-01-16,2,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,1
2015-01-16,5,FEMENINO,CONTUNDENTES,1
2015-01-16,1,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,1
2015-01-16,1,FEMENINO,ESCOPOLAMINA,1
2015-01-16,4,MASCULINO,CONTUNDENTES,1
2015-01-16,4,FEMENINO,CONTUNDENTES,1
2015-01-16,1,FEMENINO,SIN EMPLEO DE ARMAS,14
2015-01-16,1,FEMENINO,CORTANTES,1
2015-01-16,3,FEMENINO,CONTUNDENTES,1
2015-01-16,2,MASCULINO,SIN EMPLEO DE ARMAS,1
2015-01-16,1,MASCULINO,CONTUNDENTES,13
2015-01-16,1,MASCULINO,SIN EMPLEO DE ARMAS,6
2015-01-16,12,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-16,2,FEMENINO,CONTUNDENTES,5
2015-01-16,2,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-16,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,4
2015-01-16,16,FEMENINO,CONTUNDENTES,1
2015-01-16,1,MASCULINO,CORTANTES,1
2015-01-17,17,FEMENINO,CONTUNDENTES,1
2015-01-17,11,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-17,3,MASCULINO,SIN EMPLEO DE ARMAS,1
2015-01-17,7,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-17,1,FEMENINO,CONTUNDENTES,30
2015-01-17,4,FEMENINO,CONTUNDENTES,1
2015-01-17,6,FEMENINO,CONTUNDENTES,1
2015-01-17,2,MASCULINO,CONTUNDENTES,3
2015-01-17,2,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,1
2015-01-17,2,FEMENINO,CONTUNDENTES,7
2015-01-17,3,FEMENINO,SIN EMPLEO DE ARMAS,2
2015-01-17,1,FEMENINO,SIN EMPLEO DE ARMAS,17
2015-01-17,1,MASCULINO,CONTUNDENTES,11
2015-01-17,1,MASCULINO,SIN EMPLEO DE ARMAS,5
2015-01-17,1,MASCULINO,CORTANTES,1
2015-01-17,2,MASCULINO,SIN EMPLEO DE ARMAS,1
2015-01-17,1,MASCULINO,CORTOPUNZANTES,1
2015-01-17,3,FEMENINO,CONTUNDENTES,3
2015-01-17,2,FEMENINO,SIN EMPLEO DE ARMAS,2
2015-01-17,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,3
2015-01-18,5,FEMENINO,SIN EMPLEO DE ARMAS,2
2015-01-18,3,MASCULINO,CONTUNDENTES,1
2015-01-18,2,MASCULINO,CONTUNDENTES,3
2015-01-18,2,FEMENINO,CONTUNDENTES,5
2015-01-18,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,8
2015-01-18,3,FEMENINO,SIN EMPLEO DE ARMAS,2
2015-01-18,2,FEMENINO,SIN EMPLEO DE ARMAS,6
2015-01-18,1,FEMENINO,CONTUNDENTES,46
2015-01-18,6,FEMENINO,CONTUNDENTES,1
2015-01-18,2,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,3
2015-01-18,2,FEMENINO,NO REPORTA,1
2015-01-18,9,FEMENINO,CONTUNDENTES,1
2015-01-18,1,FEMENINO,NO REPORTA,2
2015-01-18,1,MASCULINO,CORTOPUNZANTES,1
2015-01-18,4,FEMENINO,CONTUNDENTES,2
2015-01-18,1,MASCULINO,SIN EMPLEO DE ARMAS,7
2015-01-18,3,FEMENINO,ESCOPOLAMINA,1
2015-01-18,1,FEMENINO,SIN EMPLEO DE ARMAS,28
2015-01-18,1,FEMENINO,CORTANTES,3
2015-01-18,1,FEMENINO,CORTOPUNZANTES,1
2015-01-18,1,MASCULINO,CONTUNDENTES,14
2015-01-18,1,FEMENINO,ESCOPOLAMINA,3
2015-01-18,1,FEMENINO,ARMA DE FUEGO,3
2015-01-18,6,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-18,1,MASCULINO,ESCOPOLAMINA,1
2015-01-18,1,MASCULINO,CORTANTES,1
2015-01-18,5,FEMENINO,CONTUNDENTES,4
2015-01-18,1,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,4
2015-01-18,3,FEMENINO,CONTUNDENTES,2
2015-01-19,1,FEMENINO,CORTANTES,1
2015-01-19,1,FEMENINO,CONTUNDENTES,35
2015-01-19,2,MASCULINO,CONTUNDENTES,4
2015-01-19,12,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-19,2,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,1
2015-01-19,1,MASCULINO,SIN EMPLEO DE ARMAS,6
2015-01-19,1,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,2
2015-01-19,1,FEMENINO,CORTOPUNZANTES,1
2015-01-19,6,FEMENINO,CONTUNDENTES,1
2015-01-19,3,MASCULINO,CONTUNDENTES,1
2015-01-19,10,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-19,1,MASCULINO,CORTOPUNZANTES,1
2015-01-19,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,8
2015-01-19,4,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-19,11,FEMENINO,CONTUNDENTES,1
2015-01-19,1,FEMENINO,ESCOPOLAMINA,1
2015-01-19,2,MASCULINO,SIN EMPLEO DE ARMAS,1
2015-01-19,5,MASCULINO,SIN EMPLEO DE ARMAS,1
2015-01-19,3,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-19,1,MASCULINO,CONTUNDENTES,10
2015-01-19,4,FEMENINO,CONTUNDENTES,1
2015-01-19,2,FEMENINO,SIN EMPLEO DE ARMAS,2
2015-01-19,2,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,1
2015-01-19,2,FEMENINO,CONTUNDENTES,5
2015-01-19,5,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-19,1,FEMENINO,SIN EMPLEO DE ARMAS,26
2015-01-19,1,FEMENINO,NO REPORTA,2
2015-01-20,1,MASCULINO,SIN EMPLEO DE ARMAS,5
2015-01-20,5,FEMENINO,CONTUNDENTES,1
2015-01-20,11,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-20,1,FEMENINO,CORTANTES,1
2015-01-20,1,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,4
2015-01-20,5,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-20,4,FEMENINO,CONTUNDENTES,2
2015-01-20,1,MASCULINO,CONTUNDENTES,13
2015-01-20,8,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-20,1,FEMENINO,SIN EMPLEO DE ARMAS,22
2015-01-20,1,MASCULINO,CORTOPUNZANTES,1
2015-01-20,1,FEMENINO,CONTUNDENTES,27
2015-01-20,7,FEMENINO,CONTUNDENTES,2
2015-01-20,2,FEMENINO,SIN EMPLEO DE ARMAS,3
2015-01-20,1,FEMENINO,NO REPORTA,2
2015-01-20,7,MASCULINO,SIN EMPLEO DE ARMAS,1
2015-01-20,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,4
2015-01-20,6,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-20,2,FEMENINO,CONTUNDENTES,6
2015-01-20,1,MASCULINO,NO REPORTA,1
2015-01-20,17,FEMENINO,CONTUNDENTES,1
2015-01-20,4,MASCULINO,CONTUNDENTES,2
2015-01-20,2,MASCULINO,SIN EMPLEO DE ARMAS,1
2015-01-20,1,FEMENINO,ARMA DE FUEGO,1
2015-01-20,3,FEMENINO,CONTUNDENTES,2
2015-01-21,1,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,1
2015-01-21,2,FEMENINO,CONTUNDENTES,6
2015-01-21,1,FEMENINO,CORTANTES,1
2015-01-21,1,FEMENINO,SIN EMPLEO DE ARMAS,16
2015-01-21,1,MASCULINO,SIN EMPLEO DE ARMAS,1
2015-01-21,2,MASCULINO,SIN EMPLEO DE ARMAS,1
2015-01-21,3,MASCULINO,CONTUNDENTES,1
2015-01-21,13,FEMENINO,CONTUNDENTES,1
2015-01-21,12,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-21,1,MASCULINO,ESCOPOLAMINA,1
2015-01-21,1,MASCULINO,CONTUNDENTES,11
2015-01-21,2,MASCULINO,CONTUNDENTES,1
2015-01-21,2,FEMENINO,SIN EMPLEO DE ARMAS,5
2015-01-21,4,FEMENINO,SIN EMPLEO DE ARMAS,2
2015-01-21,9,FEMENINO,CONTUNDENTES,1
2015-01-21,1,FEMENINO,NO REPORTA,2
2015-01-21,3,FEMENINO,CONTUNDENTES,2
2015-01-21,4,FEMENINO,CONTUNDENTES,2
2015-01-21,1,FEMENINO,ARMA DE FUEGO,2
2015-01-21,1,FEMENINO,CONTUNDENTES,33
2015-01-21,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,4
2015-01-21,1,FEMENINO,CORTOPUNZANTES,1
2015-01-22,4,FEMENINO,CONTUNDENTES,1
2015-01-22,2,FEMENINO,SIN EMPLEO DE ARMAS,5
2015-01-22,1,FEMENINO,CORTOPUNZANTES,2
2015-01-22,1,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,3
2015-01-22,14,FEMENINO,CONTUNDENTES,1
2015-01-22,1,FEMENINO,NO REPORTA,3
