fecha_hecho,cantidad,genero,armas_medios,Number of domestic violence
2021-01-04,2,MASCULINO,SIN EMPLEO DE ARMAS,3
2021-01-04,5,FEMENINO,CONTUNDENTES,1
2021-01-04,3,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-04,2,MASCULINO,CONTUNDENTES,2
2021-01-04,1,FEMENINO,SIN EMPLEO DE ARMAS,29
2021-01-04,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,2
2021-01-04,4,FEMENINO,SIN EMPLEO DE ARMAS,2
2021-01-04,3,FEMENINO,CONTUNDENTES,8
2021-01-04,1,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,1
2021-01-04,7,MASCULINO,CONTUNDENTES,1
2021-01-04,7,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-04,1,MASCULINO,SIN EMPLEO DE ARMAS,23
2021-01-04,19,MASCULINO,SIN EMPLEO DE ARMAS,1
2021-01-04,2,FEMENINO,SIN EMPLEO DE ARMAS,15
2021-01-04,1,FEMENINO,CONTUNDENTES,25
2021-01-04,2,FEMENINO,CONTUNDENTES,11
2021-01-04,1,FEMENINO,ARMA DE FUEGO,1
2021-01-04,5,FEMENINO,SIN EMPLEO DE ARMAS,2
2021-01-05,1,FEMENINO,CONTUNDENTES,39
2021-01-05,3,FEMENINO,SIN EMPLEO DE ARMAS,4
2021-01-05,2,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,1
2021-01-05,2,MASCULINO,CONTUNDENTES,1
2021-01-05,4,FEMENINO,CONTUNDENTES,2
2021-01-05,1,MASCULINO,ARMA DE FUEGO,1
2021-01-05,3,MASCULINO,SIN EMPLEO DE ARMAS,1
2021-01-05,2,FEMENINO,CONTUNDENTES,9
2021-01-05,2,MASCULINO,SIN EMPLEO DE ARMAS,4
2021-01-05,8,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-05,1,MASCULINO,CONTUNDENTES,16
2021-01-05,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,4
2021-01-05,3,FEMENINO,CONTUNDENTES,1
2021-01-05,8,FEMENINO,CONTUNDENTES,1
2021-01-05,4,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-05,1,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,2
2021-01-05,1,FEMENINO,SIN EMPLEO DE ARMAS,44
2021-01-05,2,FEMENINO,SIN EMPLEO DE ARMAS,5
2021-01-05,1,MASCULINO,SIN EMPLEO DE ARMAS,11
2021-01-05,5,MASCULINO,CONTUNDENTES,1
2021-01-06,1,MASCULINO,CONTUNDENTES,8
2021-01-06,6,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-06,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,2
2021-01-06,3,MASCULINO,CONTUNDENTES,1
2021-01-06,2,MASCULINO,CONTUNDENTES,3
2021-01-06,6,MASCULINO,SIN EMPLEO DE ARMAS,1
2021-01-06,1,MASCULINO,SIN EMPLEO DE ARMAS,22
2021-01-06,8,FEMENINO,CONTUNDENTES,1
2021-01-06,4,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-06,2,FEMENINO,CONTUNDENTES,7
2021-01-06,1,FEMENINO,SIN EMPLEO DE ARMAS,34
2021-01-06,4,FEMENINO,CONTUNDENTES,1
2021-01-06,1,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,2
2021-01-06,11,FEMENINO,CONTUNDENTES,1
2021-01-06,3,FEMENINO,CONTUNDENTES,1
2021-01-06,2,FEMENINO,SIN EMPLEO DE ARMAS,5
2021-01-06,2,MASCULINO,SIN EMPLEO DE ARMAS,3
2021-01-06,1,FEMENINO,CONTUNDENTES,28
2021-01-06,3,FEMENINO,SIN EMPLEO DE ARMAS,3
2021-01-07,1,MASCULINO,CONTUNDENTES,11
2021-01-07,7,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-07,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,3
2021-01-07,7,MASCULINO,SIN EMPLEO DE ARMAS,1
2021-01-07,12,FEMENINO,CONTUNDENTES,1
2021-01-07,1,MASCULINO,SIN EMPLEO DE ARMAS,13
2021-01-07,2,FEMENINO,CONTUNDENTES,1
2021-01-07,1,FEMENINO,SIN EMPLEO DE ARMAS,24
2021-01-07,1,FEMENINO,CONTUNDENTES,31
2021-01-07,3,FEMENINO,SIN EMPLEO DE ARMAS,2
2021-01-07,2,MASCULINO,CONTUNDENTES,1
2021-01-07,2,MASCULINO,SIN EMPLEO DE ARMAS,2
2021-01-07,2,FEMENINO,SIN EMPLEO DE ARMAS,6
2021-01-07,3,MASCULINO,SIN EMPLEO DE ARMAS,3
2021-01-07,4,FEMENINO,CONTUNDENTES,1
2021-01-07,3,MASCULINO,CONTUNDENTES,1
2021-01-07,5,FEMENINO,CONTUNDENTES,1
2021-01-07,3,FEMENINO,CONTUNDENTES,1
2021-01-07,1,FEMENINO,ARMA DE FUEGO,1
2021-01-08,3,FEMENINO,SIN EMPLEO DE ARMAS,2
2021-01-08,3,MASCULINO,CONTUNDENTES,1
2021-01-08,2,FEMENINO,CONTUNDENTES,8
2021-01-08,3,MASCULINO,SIN EMPLEO DE ARMAS,1
2021-01-08,6,FEMENINO,CONTUNDENTES,1
2021-01-08,7,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-08,1,MASCULINO,ARMA DE FUEGO,1
2021-01-08,1,FEMENINO,CONTUNDENTES,28
2021-01-08,1,MASCULINO,SIN EMPLEO DE ARMAS,13
2021-01-08,14,MASCULINO,SIN EMPLEO DE ARMAS,1
2021-01-08,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,3
2021-01-08,2,FEMENINO,SIN EMPLEO DE ARMAS,7
2021-01-08,1,MASCULINO,CONTUNDENTES,21
2021-01-08,1,FEMENINO,SIN EMPLEO DE ARMAS,26
2021-01-08,4,FEMENINO,CONTUNDENTES,1
2021-01-08,7,FEMENINO,CONTUNDENTES,1
2021-01-08,4,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-08,4,MASCULINO,SIN EMPLEO DE ARMAS,1
2021-01-08,2,MASCULINO,CONTUNDENTES,1
2021-01-08,3,FEMENINO,CONTUNDENTES,2
2021-01-09,1,FEMENINO,SIN EMPLEO DE ARMAS,31
2021-01-09,2,FEMENINO,SIN EMPLEO DE ARMAS,3
2021-01-09,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,1
2021-01-09,2,FEMENINO,CONTUNDENTES,7
2021-01-09,3,MASCULINO,SIN EMPLEO DE ARMAS,1
2021-01-09,6,FEMENINO,SIN EMPLEO DE ARMAS,2
2021-01-09,1,FEMENINO,CONTUNDENTES,29
2021-01-09,3,FEMENINO,SIN EMPLEO DE ARMAS,2
2021-01-09,5,FEMENINO,CONTUNDENTES,1
2021-01-09,4,FEMENINO,CONTUNDENTES,1
2021-01-09,11,FEMENINO,CONTUNDENTES,1
2021-01-09,2,MASCULINO,CONTUNDENTES,2
2021-01-09,5,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-09,1,MASCULINO,SIN EMPLEO DE ARMAS,12
2021-01-09,2,MASCULINO,SIN EMPLEO DE ARMAS,1
2021-01-09,4,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-09,3,FEMENINO,CONTUNDENTES,1
2021-01-09,1,MASCULINO,CONTUNDENTES,15
2021-01-09,8,MASCULINO,SIN EMPLEO DE ARMAS,1
2021-01-10,2,MASCULINO,CONTUNDENTES,1
2021-01-10,2,FEMENINO,SIN EMPLEO DE ARMAS,4
2021-01-10,3,FEMENINO,SIN EMPLEO DE ARMAS,4
2021-01-10,4,MASCULINO,SIN EMPLEO DE ARMAS,1
2021-01-10,2,MASCULINO,SIN EMPLEO DE ARMAS,1
2021-01-10,3,FEMENINO,CONTUNDENTES,4
2021-01-10,3,MASCULINO,CONTUNDENTES,1
2021-01-10,12,MASCULINO,SIN EMPLEO DE ARMAS,1
2021-01-10,17,FEMENINO,CONTUNDENTES,1
2021-01-10,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,2
2021-01-10,5,FEMENINO,CONTUNDENTES,1
2021-01-10,2,FEMENINO,CONTUNDENTES,7
2021-01-10,1,MASCULINO,SIN EMPLEO DE ARMAS,12
2021-01-10,5,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-10,1,MASCULINO,CONTUNDENTES,20
2021-01-10,1,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,1
2021-01-10,1,FEMENINO,CONTUNDENTES,42
2021-01-10,3,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,1
2021-01-10,9,FEMENINO,CONTUNDENTES,1
2021-01-10,1,FEMENINO,ARMA DE FUEGO,2
2021-01-10,1,FEMENINO,SIN EMPLEO DE ARMAS,35
2021-01-10,7,FEMENINO,CONTUNDENTES,1
2021-01-11,2,MASCULINO,SIN EMPLEO DE ARMAS,6
2021-01-11,3,FEMENINO,SIN EMPLEO DE ARMAS,3
2021-01-11,1,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,3
2021-01-11,5,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-11,6,MASCULINO,SIN EMPLEO DE ARMAS,1
2021-01-11,1,FEMENINO,CONTUNDENTES,26
2021-01-11,2,FEMENINO,CONTUNDENTES,6
2021-01-11,1,MASCULINO,SIN EMPLEO DE ARMAS,20
2021-01-11,7,FEMENINO,CONTUNDENTES,1
2021-01-11,1,FEMENINO,SIN EMPLEO DE ARMAS,27
2021-01-11,10,FEMENINO,CONTUNDENTES,1
2021-01-11,2,FEMENINO,SIN EMPLEO DE ARMAS,4
2021-01-11,2,MASCULINO,CONTUNDENTES,2
2021-01-11,3,FEMENINO,CONTUNDENTES,6
2021-01-11,6,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-11,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,2
2021-01-11,4,FEMENINO,SIN EMPLEO DE ARMAS,2
2021-01-11,14,FEMENINO,CONTUNDENTES,1
2021-01-11,1,MASCULINO,CONTUNDENTES,9
2021-01-12,4,MASCULINO,SIN EMPLEO DE ARMAS,1
2021-01-12,6,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-12,2,FEMENINO,SIN EMPLEO DE ARMAS,10
2021-01-12,2,MASCULINO,SIN EMPLEO DE ARMAS,5
2021-01-12,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,2
2021-01-12,7,FEMENINO,CONTUNDENTES,1
2021-01-12,3,MASCULINO,CONTUNDENTES,1
2021-01-12,1,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,1
2021-01-12,1,FEMENINO,SIN EMPLEO DE ARMAS,40
2021-01-12,5,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-12,16,FEMENINO,CONTUNDENTES,1
2021-01-12,3,FEMENINO,CONTUNDENTES,1
2021-01-12,3,FEMENINO,SIN EMPLEO DE ARMAS,3
2021-01-12,1,FEMENINO,ARMA DE FUEGO,1
2021-01-12,8,FEMENINO,CONTUNDENTES,1
2021-01-12,2,MASCULINO,CONTUNDENTES,3
2021-01-12,1,MASCULINO,SIN EMPLEO DE ARMAS,12
2021-01-12,4,FEMENINO,SIN EMPLEO DE ARMAS,3
2021-01-12,1,FEMENINO,CONTUNDENTES,29
2021-01-12,2,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,1
2021-01-12,1,MASCULINO,CONTUNDENTES,10
2021-01-12,11,MASCULINO,SIN EMPLEO DE ARMAS,1
2021-01-12,3,MASCULINO,SIN EMPLEO DE ARMAS,1
2021-01-12,2,FEMENINO,CONTUNDENTES,9
2021-01-13,5,MASCULINO,SIN EMPLEO DE ARMAS,1
2021-01-13,7,FEMENINO,CONTUNDENTES,1
2021-01-13,7,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-13,2,FEMENINO,SIN EMPLEO DE ARMAS,5
2021-01-13,2,MASCULINO,CONTUNDENTES,2
2021-01-13,2,MASCULINO,SIN EMPLEO DE ARMAS,6
2021-01-13,18,MASCULINO,SIN EMPLEO DE ARMAS,1
2021-01-13,2,FEMENINO,CONTUNDENTES,5
2021-01-13,4,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-13,1,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,1
2021-01-13,1,FEMENINO,ARMA DE FUEGO,1
2021-01-13,3,FEMENINO,SIN EMPLEO DE ARMAS,8
2021-01-13,1,FEMENINO,CONTUNDENTES,28
2021-01-13,8,FEMENINO,CONTUNDENTES,1
2021-01-13,3,FEMENINO,CONTUNDENTES,1
2021-01-13,1,MASCULINO,SIN EMPLEO DE ARMAS,20
2021-01-13,1,FEMENINO,SIN EMPLEO DE ARMAS,30
2021-01-13,1,MASCULINO,CONTUNDENTES,10
2021-01-13,4,FEMENINO,CONTUNDENTES,2
2021-01-13,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,3
2021-01-14,3,MASCULINO,CONTUNDENTES,1
2021-01-14,3,FEMENINO,CONTUNDENTES,2
2021-01-14,8,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-14,5,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-14,1,MASCULINO,CONTUNDENTES,8
2021-01-14,5,FEMENINO,CONTUNDENTES,1
2021-01-14,3,MASCULINO,SIN EMPLEO DE ARMAS,2
2021-01-14,8,FEMENINO,CONTUNDENTES,1
2021-01-14,2,MASCULINO,CONTUNDENTES,1
2021-01-14,2,FEMENINO,CONTUNDENTES,3
2021-01-14,2,MASCULINO,SIN EMPLEO DE ARMAS,3
2021-01-14,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,5
2021-01-14,1,FEMENINO,SIN EMPLEO DE ARMAS,36
2021-01-14,2,FEMENINO,SIN EMPLEO DE ARMAS,6
2021-01-14,16,MASCULINO,SIN EMPLEO DE ARMAS,1
2021-01-14,1,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,2
2021-01-14,1,MASCULINO,SIN EMPLEO DE ARMAS,9
2021-01-14,4,FEMENINO,SIN EMPLEO DE ARMAS,2
2021-01-14,1,FEMENINO,CONTUNDENTES,35
2021-01-15,3,FEMENINO,SIN EMPLEO DE ARMAS,3
2021-01-15,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,6
2021-01-15,3,MASCULINO,SIN EMPLEO DE ARMAS,1
2021-01-15,2,MASCULINO,SIN EMPLEO DE ARMAS,3
2021-01-15,1,MASCULINO,CONTUNDENTES,12
2021-01-15,1,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,1
2021-01-15,3,FEMENINO,CONTUNDENTES,3
2021-01-15,2,FEMENINO,CONTUNDENTES,10
2021-01-15,12,MASCULINO,SIN EMPLEO DE ARMAS,1
2021-01-15,1,MASCULINO,SIN EMPLEO DE ARMAS,9
2021-01-15,4,MASCULINO,SIN EMPLEO DE ARMAS,2
2021-01-15,2,MASCULINO,CONTUNDENTES,4
2021-01-15,2,FEMENINO,SIN EMPLEO DE ARMAS,9
2021-01-15,9,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-15,9,FEMENINO,CONTUNDENTES,1
2021-01-15,1,FEMENINO,SIN EMPLEO DE ARMAS,33
2021-01-15,17,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-15,5,FEMENINO,SIN EMPLEO DE ARMAS,2
2021-01-15,3,MASCULINO,CONTUNDENTES,1
2021-01-15,6,FEMENINO,CONTUNDENTES,1
2021-01-15,1,FEMENINO,CONTUNDENTES,39
2021-01-15,7,FEMENINO,CONTUNDENTES,1
2021-01-16,2,FEMENINO,CONTUNDENTES,7
2021-01-16,4,MASCULINO,CONTUNDENTES,1
2021-01-16,1,FEMENINO,CONTUNDENTES,39
2021-01-16,13,FEMENINO,CONTUNDENTES,1
2021-01-16,2,MASCULINO,CONTUNDENTES,3
2021-01-16,1,FEMENINO,SIN EMPLEO DE ARMAS,29
2021-01-16,2,MASCULINO,SIN EMPLEO DE ARMAS,1
2021-01-16,3,FEMENINO,CONTUNDENTES,3
2021-01-16,3,MASCULINO,SIN EMPLEO DE ARMAS,1
2021-01-16,6,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-16,1,FEMENINO,ARMA DE FUEGO,1
2021-01-16,7,MASCULINO,SIN EMPLEO DE ARMAS,1
2021-01-16,1,MASCULINO,CONTUNDENTES,15
2021-01-16,1,MASCULINO,SIN EMPLEO DE ARMAS,8
2021-01-16,3,FEMENINO,SIN EMPLEO DE ARMAS,3
2021-01-16,4,FEMENINO,SIN EMPLEO DE ARMAS,2
2021-01-16,2,FEMENINO,SIN EMPLEO DE ARMAS,5
2021-01-16,5,FEMENINO,CONTUNDENTES,3
2021-01-16,3,MASCULINO,CONTUNDENTES,1
2021-01-16,1,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,4
2021-01-16,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,8
2021-01-17,4,MASCULINO,SIN EMPLEO DE ARMAS,1
2021-01-17,6,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-17,3,FEMENINO,SIN EMPLEO DE ARMAS,3
2021-01-17,2,FEMENINO,SIN EMPLEO DE ARMAS,10
2021-01-17,5,FEMENINO,CONTUNDENTES,2
2021-01-17,7,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-17,2,MASCULINO,CONTUNDENTES,3
2021-01-17,1,FEMENINO,CONTUNDENTES,45
2021-01-17,1,MASCULINO,SIN EMPLEO DE ARMAS,19
2021-01-17,3,FEMENINO,CONTUNDENTES,1
2021-01-17,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,6
2021-01-17,1,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,6
2021-01-17,1,FEMENINO,ARMA DE FUEGO,2
2021-01-17,2,FEMENINO,CONTUNDENTES,12
2021-01-17,1,FEMENINO,SIN EMPLEO DE ARMAS,37
2021-01-17,1,MASCULINO,CONTUNDENTES,9
2021-01-17,4,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-17,2,MASCULINO,SIN EMPLEO DE ARMAS,1
2021-01-17,4,FEMENINO,CONTUNDENTES,2
2021-01-17,7,FEMENINO,CONTUNDENTES,2
2021-01-17,6,FEMENINO,CONTUNDENTES,1
2021-01-17,17,MASCULINO,SIN EMPLEO DE ARMAS,1
2021-01-18,3,FEMENINO,CONTUNDENTES,2
2021-01-18,4,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-18,1,MASCULINO,SIN EMPLEO DE ARMAS,8
2021-01-18,5,FEMENINO,CONTUNDENTES,1
2021-01-18,2,MASCULINO,SIN EMPLEO DE ARMAS,5
2021-01-18,1,MASCULINO,CONTUNDENTES,12
2021-01-18,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,9
2021-01-18,14,MASCULINO,SIN EMPLEO DE ARMAS,1
2021-01-18,6,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-18,1,FEMENINO,SIN EMPLEO DE ARMAS,52
2021-01-18,8,FEMENINO,CONTUNDENTES,1
2021-01-18,5,FEMENINO,SIN EMPLEO DE ARMAS,2
2021-01-18,7,FEMENINO,SIN EMPLEO DE ARMAS,2
2021-01-18,1,FEMENINO,CONTUNDENTES,37
2021-01-18,4,FEMENINO,CONTUNDENTES,1
2021-01-18,7,FEMENINO,CONTUNDENTES,1
2021-01-18,2,FEMENINO,SIN EMPLEO DE ARMAS,6
2021-01-18,2,FEMENINO,CONTUNDENTES,8
2021-01-18,3,MASCULINO,SIN EMPLEO DE ARMAS,2
2021-01-18,2,MASCULINO,CONTUNDENTES,1
2021-01-18,5,MASCULINO,SIN EMPLEO DE ARMAS,1
2021-01-18,1,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,2
2021-01-18,3,FEMENINO,SIN EMPLEO DE ARMAS,3
2021-01-19,1,MASCULINO,SIN EMPLEO DE ARMAS,6
2021-01-19,4,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-19,3,FEMENINO,CONTUNDENTES,3
2021-01-19,1,FEMENINO,SIN EMPLEO DE ARMAS,25
2021-01-19,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,3
2021-01-19,1,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,1
2021-01-19,7,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-19,2,MASCULINO,SIN EMPLEO DE ARMAS,4
2021-01-19,1,FEMENINO,ARMA DE FUEGO,1
2021-01-19,6,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-19,2,MASCULINO,CONTUNDENTES,2
2021-01-19,1,FEMENINO,CONTUNDENTES,31
2021-01-19,2,FEMENINO,CONTUNDENTES,10
2021-01-19,3,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-19,2,FEMENINO,SIN EMPLEO DE ARMAS,7
2021-01-19,1,MASCULINO,CONTUNDENTES,17
2021-01-19,18,MASCULINO,SIN EMPLEO DE ARMAS,1
2021-01-20,9,FEMENINO,CONTUNDENTES,1
2021-01-20,1,MASCULINO,CONTUNDENTES,8
2021-01-20,4,FEMENINO,SIN EMPLEO DE ARMAS,3
2021-01-20,1,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,2
2021-01-20,7,MASCULINO,SIN EMPLEO DE ARMAS,1
2021-01-20,5,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-20,1,FEMENINO,CONTUNDENTES,33
2021-01-20,7,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-20,3,MASCULINO,SIN EMPLEO DE ARMAS,1
2021-01-20,3,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-20,8,FEMENINO,CONTUNDENTES,1
2021-01-20,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,6
2021-01-20,3,FEMENINO,CONTUNDENTES,2
2021-01-20,1,MASCULINO,SIN EMPLEO DE ARMAS,11
2021-01-20,3,MASCULINO,CONTUNDENTES,2
2021-01-20,4,FEMENINO,CONTUNDENTES,1
2021-01-20,2,FEMENINO,SIN EMPLEO DE ARMAS,3
2021-01-20,2,MASCULINO,SIN EMPLEO DE ARMAS,1
2021-01-20,6,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-20,1,FEMENINO,SIN EMPLEO DE ARMAS,36
2021-01-20,2,FEMENINO,CONTUNDENTES,3
2021-01-21,3,FEMENINO,SIN EMPLEO DE ARMAS,4
2021-01-21,6,FEMENINO,CONTUNDENTES,1
2021-01-21,9,MASCULINO,SIN EMPLEO DE ARMAS,1
2021-01-21,2,FEMENINO,SIN EMPLEO DE ARMAS,7
2021-01-21,1,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,1
2021-01-21,2,MASCULINO,CONTUNDENTES,1
2021-01-21,1,FEMENINO,SIN EMPLEO DE ARMAS,27
2021-01-21,2,FEMENINO,CONTUNDENTES,6
2021-01-21,2,MASCULINO,SIN EMPLEO DE ARMAS,2
2021-01-21,3,MASCULINO,SIN EMPLEO DE ARMAS,1
